Device              NVIDIA A100-SXM4-40GB
Compatibility       8.0
clockRate (MHz)     1410
memClockRate (MHz)  1215

  fft    max exp  ms/iter
    1      22133   0.0180
    2      43633   0.0219
    4      85933   0.0244
    8     169409   0.0321
   16     333803   0.0530
   32     657719   0.0993
   64    1296011   0.0415
  128    2553659   0.0410
  144    2865601   0.0511
  216    4261051   0.0520
  256    5031737   0.0524
  288    5646379   0.0569
  320    6259537   0.0576
  384    7482053   0.0582
  392    7634537   0.0586
  400    7786967   0.0610
  432    8395997   0.0623
  512    9914521   0.0627
  640   12333809   0.0714
  729   14009689   0.0774
  784   15043099   0.0789
  800   15343429   0.0806
  864   16543493   0.0818
  896   17142793   0.0847
 1024   19535569   0.1037
 1152   21921901   0.0914
 1280   24302527   0.1071
 1296   24599717   0.1114
 1323   25101101   0.1166
 1600   30232693   0.1238
 1728   32597297   0.1284
 1792   33778141   0.1447
 1944   36579149   0.1663
 2000   37609879   0.1664
 2025   38069833   0.1706
 2048   38492887   0.2369
 2304   43194913   0.1782
 2401   44973503   0.1993
 2560   47885689   0.2051
 2592   48471289   0.2081
 2744   51250889   0.2384
 3200   59570449   0.2568
 3456   64229677   0.2880
 3584   66556463   0.3307
 3645   67664687   0.3656
 3888   72075517   0.3664
 4000   74106457   0.3816
 4096   75846319   0.4376
 4375   80897867   0.4645
 4608   85111207   0.4685
 5000   92189509   0.5165
 5184   95507747   0.5231
 5488  100984691   0.5680
 5832  107174381   0.6086
 6272  115080019   0.6398
 6400  117377567   0.6677
 6561  120266023   0.7019
 6912  126558077   0.7213
 7776  142017539   0.8156
 8000  146019329   0.8495
 8192  149447533   0.8556
 8575  156280961   0.9416
 8748  159365399   1.0058
 9261  168504209   1.0156
10000  181650109   1.0676
10368  188188471   1.0897
10976  198980129   1.1602
11664  211176269   1.2527
11907  215480183   1.2799
12544  226753511   1.3248
12800  231280639   1.3675
13824  249369863   1.4649
15552  279831199   1.6363
16000  287716357   1.6911
16384  294471259   1.7094
16807  301908293   1.8227
16875  303103441   1.8537
17150  307935821   1.9372
18225  326810201   2.0111
18522  332020537   2.0749
19683  352371163   2.0953
20000  357923143   2.1122
20736  370806323   2.1800
21952  392070229   2.3138
23328  416101459   2.4405
23814  424581893   2.6095
25088  446794913   2.6477
25600  455715121   2.7713
26244  466929581   2.8604
27783  493705637   2.9727
30375  538730923   3.2386
31104  551379091   3.2511
32000  566915989   3.4018
32768  580225813   3.4266
