Device              Tesla K80
Compatibility       3.7
clockRate (MHz)     823
memClockRate (MHz)  2505

  fft    max exp  ms/iter
    1      22133   0.0485
    2      43633   0.0585
    4      85933   0.0585
    8     169409   0.0707
   16     333803   0.0760
   18     374587   0.0817
   25     516589   0.0856
   32     657719   0.0872
   64    1296011   0.0925
   72    1454273   0.1073
   80    1612249   0.1198
   81    1631969   0.1220
   98    1966409   0.1242
  100    2005673   0.1254
  128    2553659   0.1295
  144    2865601   0.1517
  162    3215629   0.1635
  192    3797219   0.1905
  196    3874583   0.1919
  200    3951977   0.1944
  216    4261051   0.2157
  224    4415431   0.2291
  256    5031737   0.2463
  288    5646379   0.2906
  324    6336103   0.3187
  343    6699439   0.3514
  384    7482053   0.3802
  392    7634537   0.3857
  400    7786967   0.3987
  432    8395997   0.4388
  448    8700169   0.4500
  500    9687091   0.4985
  512    9914521   0.5007
  576   11125619   0.5679
  640   12333809   0.6256
  648   12484649   0.6317
  686   13200581   0.6716
  784   15043099   0.7757
  800   15343429   0.7863
  864   16543493   0.8525
  896   17142793   0.8663
  972   18564341   0.9714
 1000   19087451   0.9872
 1024   19535569   1.0066
 1152   21921901   1.1123
 1296   24599717   1.2677
 1372   26010389   1.3484
 1568   29640913   1.5284
 1600   30232693   1.5456
 1728   32597297   1.6755
 1944   36579149   1.9079
 2000   37609879   1.9605
 2048   38492887   1.9887
 2058   38676779   2.4282
 2592   48471289   2.5110
 2744   51250889   2.6758
 3136   58404433   3.0315
 3200   59570449   3.0978
 3456   64229677   3.3423
 3888   72075517   3.7851
 4000   74106457   3.8736
 4096   75846319   3.9510
 4116   76208701   4.8575
 5184   95507747   5.0162
 5488  100984691   5.3137
 6272  115080019   6.0876
 7776  142017539   7.5062
 8000  146019329   7.7610
 8192  149447533   7.9185
 8232  150161509   9.7264
10368  188188471  10.0556
10976  198980129  10.5787
11200  202952693  13.3000
11664  211176269  13.9363
11907  215480183  14.1148
12000  217126817  14.1187
12150  219782179  14.3097
12250  221551991  14.4638
12348  223286171  14.6343
12500  225975263  14.8912
12544  226753511  14.9024
15552  279831199  15.0473
16000  287716357  15.5476
16384  294471259  15.9549
16464  295878119  19.5689
16807  301908293  19.9136
17150  307935821  20.1783
17280  310219633  20.6682
17496  314013451  20.8914
21952  392070229  21.2587
22400  399897793  26.6399
23328  416101459  27.8492
23814  424581893  28.0272
24000  427826461  28.3711
24192  431175197  28.7631
24300  433058579  28.8899
24500  436545821  29.0320
24576  437870879  29.2530
24696  439962821  29.6132
25000  445261391  29.7981
25088  446794913  29.8202
31104  551379091  30.2181
32768  580225813  31.9497
