Device              Tesla P100-PCIE-16GB
Compatibility       6.0
clockRate (MHz)     1328
memClockRate (MHz)  715

  fft    max exp  ms/iter
    1      22133   0.0213
    2      43633   0.0268
    4      85933   0.0284
    8     169409   0.0397
   16     333803   0.0401
   18     374587   0.0411
   32     657719   0.0421
   64    1296011   0.0424
   98    1966409   0.0487
  128    2553659   0.0488
  144    2865601   0.0588
  162    3215629   0.0591
  196    3874583   0.0619
  200    3951977   0.0626
  216    4261051   0.0635
  224    4415431   0.0665
  256    5031737   0.0712
  320    6259537   0.0828
  324    6336103   0.0875
  384    7482053   0.0927
  392    7634537   0.0980
  400    7786967   0.1013
  405    7882187   0.1055
  448    8700169   0.1064
  500    9687091   0.1310
  512    9914521   0.1575
  576   11125619   0.1458
  640   12333809   0.1678
  648   12484649   0.1950
  729   14009689   0.2245
  768   14742617   0.2436
  784   15043099   0.2478
  800   15343429   0.2559
  896   17142793   0.2659
 1024   19535569   0.3136
 1152   21921901   0.3378
 1225   23280269   0.3904
 1280   24302527   0.3911
 1296   24599717   0.3948
 1323   25101101   0.4201
 1372   26010389   0.4513
 1568   29640913   0.4726
 1600   30232693   0.4790
 1728   32597297   0.5136
 1792   33778141   0.5419
 2000   37609879   0.5948
 2048   38492887   0.5976
 2187   41047411   0.6795
 2304   43194913   0.6819
 2401   44973503   0.7477
 2592   48471289   0.7534
 2744   51250889   0.8575
 3136   58404433   0.8934
 3200   59570449   0.9083
 3456   64229677   0.9873
 3584   66556463   1.1055
 4000   74106457   1.1440
 4096   75846319   1.1496
 4608   85111207   1.3931
 5184   95507747   1.4371
 5488  100984691   1.5997
 6272  115080019   1.7484
 6400  117377567   1.8313
 6561  120266023   1.9196
 6912  126558077   1.9768
 7776  142017539   2.2232
 8000  146019329   2.2304
 8192  149447533   2.2343
 8575  156280961   2.6486
 9261  168504209   2.8074
10368  188188471   2.8783
10976  198980129   3.1355
12544  226753511   3.5325
12800  231280639   3.6461
13824  249369863   3.9689
15552  279831199   4.3390
16384  294471259   4.4438
16807  301908293   5.0668
16875  303103441   5.6149
18225  326810201   5.7280
20736  370806323   5.7784
21952  392070229   6.1714
25088  446794913   7.0307
27783  493705637   8.2754
31104  551379091   8.7114
32768  580225813   8.9974
