Device              Tesla P4
Compatibility       6.1
clockRate (MHz)     1113
memClockRate (MHz)  3003

  fft    max exp  ms/iter
 1024   19535569   1.6879
 1152   21921901   1.7966
 1296   24599717   2.2274
 1323   25101101   2.5187
 1350   25602229   2.5303
 1458   27604673   2.5595
 1512   28604657   2.6823
 1600   30232693   2.7576
 1728   32597297   2.8159
 2048   38492887   2.8546
 2304   43194913   3.8279
 2592   48471289   4.3805
 2688   50227213   4.8386
 2700   50446621   4.9174
 2916   54392209   5.0162
 3200   59570449   5.0943
 3456   64229677   5.2258
 4096   75846319   5.7402
 4480   82797151   7.6503
 4536   83809729   7.8904
 4608   85111207   8.0736
 5184   95507747   8.3908
 5760  105879517   9.5487
 5832  107174381   9.8735
 6272  115080019  10.2473
 6400  117377567  11.0636
 6912  126558077  11.5282
 8192  149447533  11.6565
 9216  167703023  15.2550
10368  188188471  16.1029
10584  192023851  19.5870
10800  195857587  19.9425
11664  211176269  20.4832
12096  218826341  21.5162
12544  226753511  22.5638
13122  236972111  23.7358
13824  249369863  25.0821
16384  294471259  25.4847
17280  310219633  30.0586
17496  314013451  30.9514
18432  330441847  32.1622
20736  370806323  35.6716
22400  399897793  40.2936
24192  431175197  41.7502
25600  455715121  46.8754
26244  466929581  47.8415
27648  491358173  48.6129
32768  580225813  49.5645
