Device              Tesla T4
Compatibility       7.5
clockRate (MHz)     1590
memClockRate (MHz)  5001

  fft    max exp  ms/iter
 1024   19535569   1.5970
 1152   21921901   1.2775
 1280   24302527   1.4838
 1296   24599717   1.5886
 1323   25101101   1.7523
 1350   25602229   1.7819
 1372   26010389   1.8267
 1400   26529691   1.8620
 1440   27271147   1.9061
 1458   27604673   1.9131
 1600   30232693   1.9402
 1728   32597297   1.9876
 2048   38492887   2.0658
 2304   43194913   2.6285
 2560   47885689   3.1277
 2592   48471289   3.2226
 2744   51250889   3.6423
 2916   54392209   3.8424
 3200   59570449   3.9368
 3456   64229677   4.0193
 4096   75846319   4.2802
 4608   85111207   5.4098
 5184   95507747   6.2925
 5400   99399967   7.4385
 5488  100984691   7.4893
 5760  105879517   7.4965
 5832  107174381   7.6294
 6400  117377567   7.9251
 6912  126558077   8.1397
 7168  131142761   9.4952
 8192  149447533  10.0021
