Device              Tesla V100-SXM2-16GB
Compatibility       7.0
clockRate (MHz)     1530
memClockRate (MHz)  877

  fft    max exp  ms/iter
 1024   19535569   0.1807
 1152   21921901   0.2181
 1296   24599717   0.2339
 1372   26010389   0.2704
 1458   27604673   0.2862
 1568   29640913   0.2939
 1600   30232693   0.3016
 1728   32597297   0.3270
 1792   33778141   0.3496
 2048   38492887   0.3717
 2304   43194913   0.4491
 2592   48471289   0.4861
 2744   51250889   0.5457
 2916   54392209   0.5809
 3136   58404433   0.5828
 3200   59570449   0.5927
 3456   64229677   0.6474
 3584   66556463   0.7014
 4000   74106457   0.7350
 4096   75846319   0.7355
 4608   85111207   0.8920
 5184   95507747   0.9559
 5488  100984691   1.0538
 6272  115080019   1.1591
 6400  117377567   1.1871
 6912  126558077   1.2807
 8000  146019329   1.4507
 8192  149447533   1.4648
 8232  150161509   1.8617
10368  188188471   1.8911
10976  198980129   2.0725
11664  211176269   2.2628
12544  226753511   2.2859
12800  231280639   2.3549
13824  249369863   2.5640
16000  287716357   2.8866
16384  294471259   2.8990
16464  295878119   3.7026
20736  370806323   3.8018
21952  392070229   3.9930
23328  416101459   4.4934
25088  446794913   4.5726
25600  455715121   5.6297
26244  466929581   5.6730
31104  551379091   5.7905
32768  580225813   5.7977
